CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
MEM 1.847656 1667770808.2699
MEM 25.222656 1667770808.3742
CHLD 0 8.175781 1667770808.3774
MEM 25.222656 1667770808.4778
CHLD 0 105.679688 1667770808.4817
MEM 25.222656 1667770808.5820
CHLD 0 141.847656 1667770808.5862
CHLD 1 4.519531 1667770808.5862
CHLD 2 3.781250 1667770808.5862
MEM 25.222656 1667770808.6866
CHLD 0 136.574219 1667770808.6895
MEM 25.222656 1667770808.7898
CHLD 0 125.027344 1667770808.7925
MEM 25.222656 1667770808.8928
CHLD 0 7.078125 1667770808.8974
CHLD 1 84.652344 1667770808.8974
MEM 25.222656 1667770808.9977
CHLD 0 7.078125 1667770809.0007
CHLD 1 4.296875 1667770809.0007
MEM 25.222656 1667770809.1013
CHLD 0 7.078125 1667770809.1087
CHLD 1 142.003906 1667770809.1087
CHLD 2 4.617188 1667770809.1088
MEM 25.222656 1667770809.2091
CHLD 0 7.078125 1667770809.2126
CHLD 1 170.929688 1667770809.2127
CHLD 2 5.136719 1667770809.2127
MEM 25.222656 1667770809.3135
CHLD 0 7.078125 1667770809.3201
CHLD 1 171.187500 1667770809.3201
CHLD 2 5.136719 1667770809.3201
MEM 25.222656 1667770809.4209
CHLD 0 7.078125 1667770809.4278
CHLD 1 171.187500 1667770809.4278
CHLD 2 5.136719 1667770809.4278
MEM 25.222656 1667770809.5286
CHLD 0 7.078125 1667770809.5380
CHLD 1 171.187500 1667770809.5380
CHLD 2 5.136719 1667770809.5380
MEM 25.222656 1667770809.6390
CHLD 0 7.078125 1667770809.6458
CHLD 1 171.187500 1667770809.6458
CHLD 2 5.136719 1667770809.6458
MEM 25.222656 1667770809.7461
CHLD 0 7.078125 1667770809.7488
CHLD 1 171.187500 1667770809.7488
CHLD 2 5.136719 1667770809.7488
MEM 25.222656 1667770809.8493
CHLD 0 7.078125 1667770809.8544
CHLD 1 171.187500 1667770809.8544
CHLD 2 5.136719 1667770809.8545
MEM 25.222656 1667770809.9553
CHLD 0 7.078125 1667770809.9621
CHLD 1 171.187500 1667770809.9621
CHLD 2 5.136719 1667770809.9621
MEM 25.222656 1667770810.0624
CHLD 0 7.078125 1667770810.0650
CHLD 1 171.187500 1667770810.0650
CHLD 2 5.136719 1667770810.0650
MEM 25.222656 1667770810.1659
CHLD 0 7.078125 1667770810.1725
CHLD 1 171.187500 1667770810.1725
CHLD 2 5.136719 1667770810.1725
MEM 25.222656 1667770810.2732
CHLD 0 7.078125 1667770810.2792
CHLD 1 171.187500 1667770810.2792
CHLD 2 5.136719 1667770810.2792
MEM 25.222656 1667770810.3801
CHLD 0 7.078125 1667770810.3871
CHLD 1 171.187500 1667770810.3871
CHLD 2 5.136719 1667770810.3871
MEM 25.222656 1667770810.4878
CHLD 0 7.078125 1667770810.4942
CHLD 1 171.187500 1667770810.4942
CHLD 2 5.136719 1667770810.4943
MEM 25.222656 1667770810.5951
CHLD 0 7.078125 1667770810.6019
CHLD 1 171.187500 1667770810.6019
CHLD 2 5.136719 1667770810.6019
MEM 25.222656 1667770810.7027
CHLD 0 7.078125 1667770810.7089
CHLD 1 171.187500 1667770810.7089
CHLD 2 5.136719 1667770810.7089
MEM 25.222656 1667770810.8096
CHLD 0 7.078125 1667770810.8151
CHLD 1 171.187500 1667770810.8152
CHLD 2 5.136719 1667770810.8152
MEM 25.222656 1667770810.9160
CHLD 0 7.078125 1667770810.9225
CHLD 1 171.187500 1667770810.9225
CHLD 2 5.136719 1667770810.9225
MEM 25.222656 1667770811.0233
CHLD 0 7.078125 1667770811.0296
CHLD 1 171.187500 1667770811.0296
CHLD 2 5.136719 1667770811.0297
MEM 25.222656 1667770811.1304
CHLD 0 7.078125 1667770811.1352
CHLD 1 171.187500 1667770811.1353
CHLD 2 5.136719 1667770811.1353
MEM 25.222656 1667770811.2361
CHLD 0 7.078125 1667770811.2425
CHLD 1 171.187500 1667770811.2425
CHLD 2 5.136719 1667770811.2425
MEM 25.222656 1667770811.3429
CHLD 0 7.078125 1667770811.3464
CHLD 1 171.187500 1667770811.3464
CHLD 2 5.136719 1667770811.3464
MEM 25.222656 1667770811.4468
CHLD 0 7.078125 1667770811.4521
CHLD 1 171.187500 1667770811.4521
CHLD 2 7.125000 1667770811.4522
MEM 25.222656 1667770811.5525
