CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
MEM 0.664062 1667753854.7749
MEM 25.125000 1667753854.8795
CHLD 0 9.738281 1667753854.8839
MEM 25.125000 1667753854.9844
CHLD 0 119.824219 1667753854.9907
MEM 25.125000 1667753855.0912
CHLD 0 140.113281 1667753855.0985
MEM 25.125000 1667753855.1990
CHLD 0 119.246094 1667753855.2108
MEM 25.125000 1667753855.3115
CHLD 0 139.136719 1667753855.3269
MEM 25.125000 1667753855.4275
CHLD 0 20.386719 1667753855.4360
MEM 25.125000 1667753855.5366
CHLD 0 128.085938 1667753855.5411
MEM 25.125000 1667753855.6416
CHLD 0 0.000000 1667753855.6480
MEM 25.125000 1667753855.7485
CHLD 0 7.125000 1667753855.7543
CHLD 1 119.679688 1667753855.7543
MEM 25.125000 1667753855.8550
CHLD 0 7.125000 1667753855.8665
CHLD 1 139.972656 1667753855.8665
MEM 25.125000 1667753855.9670
CHLD 0 7.125000 1667753855.9726
CHLD 1 115.800781 1667753855.9726
MEM 25.125000 1667753856.0731
CHLD 0 7.125000 1667753856.0813
CHLD 1 139.695312 1667753856.0814
MEM 25.125000 1667753856.1821
CHLD 0 7.125000 1667753856.1911
CHLD 1 150.656250 1667753856.1911
CHLD 2 5.117188 1667753856.1911
MEM 25.125000 1667753856.2916
CHLD 0 7.125000 1667753856.2982
CHLD 1 171.609375 1667753856.2982
CHLD 2 5.117188 1667753856.2982
MEM 25.125000 1667753856.3991
CHLD 0 7.125000 1667753856.4130
CHLD 1 171.609375 1667753856.4130
CHLD 2 5.117188 1667753856.4131
MEM 25.125000 1667753856.5140
CHLD 0 7.125000 1667753856.5316
CHLD 1 171.609375 1667753856.5317
CHLD 2 5.117188 1667753856.5317
MEM 25.125000 1667753856.6324
CHLD 0 7.125000 1667753856.6444
CHLD 1 171.609375 1667753856.6444
CHLD 2 5.117188 1667753856.6445
MEM 25.125000 1667753856.7450
CHLD 0 7.125000 1667753856.7510
CHLD 1 171.609375 1667753856.7510
CHLD 2 5.117188 1667753856.7510
MEM 25.125000 1667753856.8514
CHLD 0 7.125000 1667753856.8574
CHLD 1 171.609375 1667753856.8574
CHLD 2 5.117188 1667753856.8575
MEM 25.125000 1667753856.9580
CHLD 0 7.125000 1667753856.9638
CHLD 1 171.609375 1667753856.9638
CHLD 2 5.117188 1667753856.9638
MEM 25.125000 1667753857.0643
CHLD 0 7.125000 1667753857.0694
CHLD 1 171.609375 1667753857.0694
CHLD 2 5.117188 1667753857.0694
MEM 25.125000 1667753857.1699
CHLD 0 7.125000 1667753857.1771
CHLD 1 171.609375 1667753857.1772
CHLD 2 5.117188 1667753857.1772
MEM 25.125000 1667753857.2776
CHLD 0 7.125000 1667753857.2829
CHLD 1 171.609375 1667753857.2829
CHLD 2 5.117188 1667753857.2829
MEM 25.125000 1667753857.3834
