CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
MEM 0.660156 1667770988.3546
MEM 27.359375 1667770988.4550
MEM 27.359375 1667770988.5553
MEM 27.359375 1667770988.6556
MEM 27.359375 1667770988.7560
MEM 27.359375 1667770988.8563
MEM 27.359375 1667770988.9566
MEM 27.359375 1667770989.0571
MEM 27.359375 1667770989.1575
MEM 27.359375 1667770989.2583
MEM 27.359375 1667770989.3592
MEM 27.359375 1667770989.4599
MEM 27.359375 1667770989.5605
MEM 27.359375 1667770989.6612
MEM 27.359375 1667770989.7615
MEM 27.359375 1667770989.8620
MEM 27.359375 1667770989.9624
MEM 27.359375 1667770990.0630
MEM 27.359375 1667770990.1639
MEM 27.359375 1667770990.2645
MEM 27.359375 1667770990.3650
MEM 27.359375 1667770990.4655
MEM 27.359375 1667770990.5663
MEM 27.359375 1667770990.6671
MEM 27.359375 1667770990.7676
MEM 27.359375 1667770990.8680
MEM 27.359375 1667770990.9685
MEM 27.359375 1667770991.0694
MEM 27.359375 1667770991.1704
MEM 27.359375 1667770991.2716
MEM 27.359375 1667770991.3728
MEM 27.359375 1667770991.4740
MEM 27.359375 1667770991.5753
MEM 27.359375 1667770991.6765
MEM 27.359375 1667770991.7777
MEM 27.359375 1667770991.8790
MEM 27.359375 1667770991.9799
MEM 27.359375 1667770992.0808
MEM 27.359375 1667770992.1818
MEM 27.359375 1667770992.2822
MEM 27.359375 1667770992.3829
MEM 27.359375 1667770992.4838
MEM 27.359375 1667770992.5844
MEM 27.359375 1667770992.6853
MEM 27.359375 1667770992.7862
MEM 27.359375 1667770992.8871
MEM 27.359375 1667770992.9879
MEM 27.359375 1667770993.0889
MEM 27.359375 1667770993.1896
MEM 27.359375 1667770993.2903
MEM 27.359375 1667770993.3912
MEM 27.359375 1667770993.4923
MEM 27.359375 1667770993.5930
MEM 27.359375 1667770993.6939
MEM 27.359375 1667770993.7947
MEM 27.359375 1667770993.8956
MEM 27.359375 1667770993.9965
MEM 27.359375 1667770994.0976
MEM 27.359375 1667770994.1986
MEM 27.359375 1667770994.2993
MEM 27.359375 1667770994.4002
MEM 27.359375 1667770994.5012
MEM 27.359375 1667770994.6022
MEM 27.359375 1667770994.7032
MEM 27.359375 1667770994.8043
MEM 27.359375 1667770994.9052
MEM 27.359375 1667770995.0062
MEM 27.359375 1667770995.1072
MEM 27.359375 1667770995.2082
MEM 27.359375 1667770995.3086
MEM 27.359375 1667770995.4099
MEM 27.359375 1667770995.5108
MEM 27.359375 1667770995.6114
MEM 27.359375 1667770995.7124
MEM 27.359375 1667770995.8133
MEM 27.359375 1667770995.9137
MEM 27.359375 1667770996.0146
MEM 27.359375 1667770996.1154
MEM 27.359375 1667770996.2160
MEM 27.359375 1667770996.3168
MEM 27.359375 1667770996.4173
MEM 27.359375 1667770996.5176
MEM 27.359375 1667770996.6178
MEM 27.359375 1667770996.7186
MEM 27.359375 1667770996.8193
MEM 29.394531 1667770996.9196
MEM 38.421875 1667770997.0199
MEM 38.347656 1667770997.1202
